timestamp,aqi,pm25,pm10,o3,no2,so2,co,temp,humidity,pressure,wind_speed,clouds
2024-08-22 00:00:00+00:00,64,15.0,39.0,33.0,7.0,5.3,154.0,26.9,86,1000.4,18.5,1
2024-08-22 01:00:00+00:00,64,15.2,41.2,34.0,6.5,5.4,157.0,27.3,85,1000.3,17.6,56
2024-08-22 02:00:00+00:00,65,15.8,43.2,37.0,5.7,5.6,161.0,27.8,81,1000.7,19.1,32
2024-08-22 03:00:00+00:00,65,16.3,49.8,42.0,4.8,5.7,163.0,28.9,74,1001.1,17.2,12
2024-08-22 04:00:00+00:00,65,16.9,57.4,53.0,3.8,5.8,161.0,30.1,71,1001.0,16.9,4
2024-08-22 05:00:00+00:00,65,18.5,69.4,67.0,2.7,5.9,157.0,31.6,67,1000.8,16.4,38
2024-08-22 06:00:00+00:00,66,20.3,80.6,80.0,1.9,6.0,154.0,33.0,63,1000.5,14.5,47
2024-08-22 07:00:00+00:00,66,22.3,89.2,90.0,1.5,6.4,154.0,34.5,58,999.9,12.0,9
2024-08-22 08:00:00+00:00,66,23.9,93.8,99.0,1.4,6.8,156.0,35.3,56,999.2,11.3,100
2024-08-22 09:00:00+00:00,67,26.3,104.3,104.0,1.4,7.0,158.0,35.8,53,998.4,12.0,100
2024-08-22 10:00:00+00:00,67,26.1,102.4,106.0,1.4,6.8,157.0,35.5,53,997.7,11.8,100
2024-08-22 11:00:00+00:00,68,27.2,106.2,104.0,1.5,6.5,155.0,35.3,53,997.1,12.5,34
2024-08-22 12:00:00+00:00,68,27.8,101.7,99.0,2.5,5.1,163.0,32.5,64,997.3,19.9,48
2024-08-22 13:00:00+00:00,69,28.2,98.0,90.0,4.2,4.8,176.0,33.4,58,997.6,14.2,17
2024-08-22 14:00:00+00:00,69,30.0,96.4,77.0,6.6,4.4,195.0,33.0,60,997.9,11.6,31
2024-08-22 15:00:00+00:00,70,26.0,79.2,64.0,8.5,4.3,207.0,31.5,65,998.6,20.7,28
2024-08-22 16:00:00+00:00,71,21.0,61.2,53.0,9.6,4.9,208.0,30.5,67,999.8,21.1,8
2024-08-22 17:00:00+00:00,71,17.2,49.2,42.0,10.2,5.9,204.0,29.5,72,1000.3,20.8,3
2024-08-22 18:00:00+00:00,71,15.1,44.2,35.0,10.5,6.6,198.0,28.8,76,1000.3,20.0,3
2024-08-22 19:00:00+00:00,71,14.1,42.3,32.0,10.4,6.9,192.0,28.3,79,1000.0,20.2,2
2024-08-22 20:00:00+00:00,71,13.6,39.6,32.0,9.8,7.1,184.0,28.0,81,999.8,19.3,11
2024-08-22 21:00:00+00:00,71,13.4,38.1,33.0,9.1,6.9,175.0,27.7,83,999.7,17.5,68
2024-08-22 22:00:00+00:00,71,13.2,36.3,34.0,8.0,6.3,164.0,27.4,85,999.4,17.2,93
2024-08-22 23:00:00+00:00,71,13.1,35.4,36.0,6.8,5.5,153.0,27.2,86,999.5,18.2,47
2024-08-23 00:00:00+00:00,70,13.0,36.0,37.0,6.2,5.3,150.0,27.0,86,999.5,18.5,62
2024-08-23 01:00:00+00:00,70,13.3,37.7,38.0,5.8,5.3,154.0,27.2,84,1000.1,20.0,38
